ID,Summary,Manual_Sleep_Topic
APP2017496,"1 in 3 Aboriginal and Torres Strait Islander adolescents struggle with poor sleep, yet their sleep health needs remains unmet. In collaboration with community members, the project team and partner organisations are working together to co-design a sleep health program and resources, build local capacity, and embed culturally responsive and context responsive sleep health care in preventive programs and health system to meet the sleep health needs of First Nations adolescents.",yes
APP2017506,"Traumatic experiences are a risk factor for poor physical and mental health.     This research program will generate critical knowledge on how lifestyle factors (physical activity, diet and sleep) impact mental and physical health, in people exposed to trauma. This includes emergency service workers, veterans and people from refugee and asylum seeker backgrounds.     Results will inform how lifestyle programs can be integrated into routine care of people exposed to trauma (with, and at risk of PTSD).",no
APP2018668,"Modifiable risk factors account for up to 40% of dementia risk, and sleep disturbance (SD) has emerged as a viable new target. This project will assess SD, cognitive decline and dementia pathology using methods including novel blood-based biomarkers. This project will also develop scalable digital health solutions addressing SD, and assess the impact of interventions on SD and dementia biomarkers, in order to translate findings into clinical practice and substantially reduce dementia risk.",yes
APP2019260,"This project aims to improve our knowledge about how problems with “body clocks” might lead to mood disorders like depression and bipolar disorder. We expect this research will (1) lead to better ways to measure body clock function, (2) reveal more clearly how body clocks are affected in mood disorders, (3) help clinicians predict whose mood disorder will persist or get worse over time, and (4) guide clinicians about what treatments can help improve people’s body clocks and mental health.",yes
APP2019372,"This project aims to understand the formation of cells in the brain that are critical for controlling sleep. These sleep neurons are often affected in sleep disorders such as narcolepsy, a condition involving sudden attacks of sleep that affects 1/2,000 humans. By understanding how sleep neurons develop within the brain we will be able to generate sleep neurons from stem cells. This will pave the way for future bench-to-clinic transplantation experiments to alleviate narcolepsy.",yes
APP2020732,"Blood pressure (BP) monitoring is critically important in hospitalised children and in those with hypertension, but is impeded by low tolerance to repeated cuff inflation. In this project, a novel cuffless BP device suitable for children will be developed and tested in real clinical settings. The device will overcome the distress and sleep disturbance caused by current devices, enabling more reliable and timely identification of high or low BP levels that can cause permanent brain/kidney damage.",no
APP2020782,"Nine-five percent of all Malaria transmission occurs within the African region, causing approximately 600 000 deaths per year.  Insecticide-treated bed nets are one of the primary interventions used to stop the spread of malaria.  However, sensations of feeling too hot to sleep comfortably is the primary reason for not using bed nets. By simulating real-world conditions, this project will determine how fans can be used to improve thermal comfort and sleep quality within the bed net enclosure.",no
APP2021595,"A change in the sleep-wake system, particularly reduced deep sleep, is associated with impaired memory and cognition, and other aspects of brain health in later life. We will use exciting new technology and never-before-used ways of understanding the brain to reveal the causal role of deep sleep in brain and cognitive health. This will provide critical evidence for the use of sleep therapeutics which increase deep sleep to enhance brain health and promote cognition in older adults.",yes
APP2021864,"The aim of this project is to examine the effects of caffeine on the human internal body clock. In particular, we will assess the extent to which a moderate amount of caffeine, equivalent to a double-shot espresso, can shift the timing of the body clock. The results of this project will enable practitioners to use caffeine to treat disorders and behaviours that seriously disrupt the body clocks of 20% of Australian adults (e.g., delayed sleep onset, night work, international flight).",yes
APP2021950,"Low back pain (LBP) is the leading cause of disability globally and all commonly prescribed medications for acute LBP are not effective or cause serious side effects. Effective treatments for acute LBP are urgently needed. Muscle relaxants medicines such as Zopiclone, a safe sleep drug, appear to be safe and effective for acute LBP, although considerable uncertainty remains. My study, ZEUs, will be the definitive, double-blind placebo controlled randomised trial testing Zopiclone in acute LBP.",no
APP2022218,"Obstructive sleep apnoea is a common sleep disorder where the upper airway collapses repeatedly during sleep, interrupting breathing. It is associated with accidents and elevated risk of cardiovascular disease. Current treatments are poorly adhered to by patients, and there is a substantial market for new therapies that are patient-friendly. This project aims to bring a new minimally invasive light-stimulation therapy, Optosleep, to the stage where it can be tested in human patients.",yes
APP2023931,"Sciatica affects 400,000 Australians every year. Easily available treatments like opioids and pregabalin are not effective. Our team has shown that duloxetine, an antidepressant, may be a promising treatment for chronic sciatica. We propose DREAM - a trial that will use rigorous methods to determine if duloxetine is effective, safe, and cost-effective for people with chronic sciatica. If effective, DREAM will transform how chronic sciatica is treated.",no
APP2025333,"Circadian disruption leads to poor health. Measurement of circadian timing in sleep and circadian rhythm disorders is critical for accurate diagnosis and treatments, but these assessments are almost never conducted clinically due to lack of practical methods. My research program will develop a scalable method for digital circadian rhythm assessments using wearable monitors and advanced modelling, that can be used in sleep clinics around the world to improve diagnostic and therapeutic outcomes.",yes
APP2025614,Cellular therapies are designed to boost the patient's immune system to better fight cancer. Dendritic cells (DCs) are sentinel cells whose normal function is to alert the immune system to infection or cancer. We are developing a method to engineer DCs that we aim to deliver to patients as a new class of cell therapy. In this project we aim to produce enough supportive data to progress this therapy towards a clinical trial in solid cancer patients.,no
APP2025886,"Sleep-disordered breathing are common respiratory disorders that affect over a billion people worldwide, disrupting sleep and impacting quality of life. Current methods of diagnosis can be costly and time-consuming, with misdiagnoses occurring in up to 50% of cases and wait times of up to two years. To address these challenges, I propose a novel, multi-modal, data-driven approach to diagnose and manage sleep-disordered breathing using affordable technology that can be implemented in the home.",yes
APP2027008,"This research aims to understand the neural and immune mechanisms that drive the transition from acute to chronic back pain, and the role of sleep and physical activity. Critical knowledge gaps relating to this transition will be closed and the capacity for sleep and physical activity to prevent it will be tested by applying an innovative blend of basic and clinical sciences. Findings will shift how we think about back pain in the context of these everyday factors and inform treatment advances.",no
APP2027093,Atrial fibrillation (AF) is the most common heart rhythm disorder in human beings. It is a common cause of stroke and disability. Obstructive sleep apnoea is a condition where the airway closes during sleep and is also very common in patients with AF. This research will firstly evaluate the way in which AF and OSA are connected. It will also try to develop effective treatments for OSA that may reduce the severity of AF. The impact of OSA treatment on stroke risk will also be investigated.,yes
APP2028428,"Obstructive Sleep Apnoea (OSA) affects one in five Australians, causing drops in blood oxygen levels and disruption to deep, or slow wave, sleep. Slow wave sleep is important for brain health. Current treatments for OSA are poorly tolerated and not effective in all patients. This study will examine whether a novel therapy for OSA, which enhances slow wave sleep through acoustic stimulation, improves patients’ daytime functioning and explore how it affects the underlying causes of OSA.",yes
APP2029399,"The circadian body-clock regulates sleep, wake and brain and body functions across each day and night. This system adjusts according to the daily exposure timing and intensity of blue light. This project will combine wearable sensor data with high performance physiology and data-driven analysis methods to create the first practical daily tracking and light retiming method needed to accelerate body-clock adjustments in shift-workers and circadian sleep disorders.",yes
APP2031331,"For patients with atrial fibrillation (AF), controlling risk factors including blood pressure, diabetes, weight, cholesterol, sleep apnoea and alcohol intake has been shown in large clinical studies to reduce the amount of AF and avoid the need for invasive procedures. This project seeks to develop and clinically validate a smartphone based app to create a digital AF care plan to engage the patient and their doctors to optimise their AF management.",no
APP2031419,"Physical activity enables people living with cancer to combat treatment side effects such as fatigue, improve quality of life and reduce the risk of cancer recurrence. Exercise rehabilitation is now recommended as a way for people to optimise physical activity. However, people struggle to find the right time for rehabilitation and fail to regain premorbid function. My research will determine the right time for people to access rehabilitation in order to survive longer and live better lives.",no
APP2032328,"Physical activity, sitting and sleep - termed “physical behaviours” - are major determinants of risk for many cancers, although we do not know what the minimal and optimal amounts for cancer prevention are. This project will use the wearable device data derived from the ProPASS consortium to examine the combined associations of physical activity, sitting and sleep with cancer risk. The aim is to provide precise evidence that will contribute to future cancer prevention guidelines.",no
APP2033519,"Sleep and ‘body clock’ disruption create vulnerability for depression. We now know that antidepressants affect sleep and the body clock in a way that has the potential to predict treatment outcomes. This program of research will examine the effect of a range of antidepressants on the body clock in both acute (single) and chronic (multiple) doses, and evaluate the effectiveness of circadian measures for predicting antidepressant treatment responses.",yes
APP2033832,"Sleep and circadian treatments are effective at improving both sleep and mental health problems, but current treatments do not meet the needs and priorities of adolescents and young adults. This research program will address this challenge by co-designing and evaluating i) a digital sleep and circadian intervention for young people and ii) a peer-led sleep intervention for young adults at university.",yes
APP2034034,"Insomnia is the most common sleep disorder, causing significant distress, impairment, and societal burden. The first-line treatment for insomnia is effective but is largely not accessible to the community. Further, there are no current insomnia prevention programs in Australia. This proposal will (1) create new knowledge to inform the treatment and prevention of insomnia, and (2) co-design evidence-based treatment and prevention with stakeholders and community involvement.",yes
APP2034497,"Our body clock orchestrates our physiology, including when we eat and sleep, synchronizing it with the daily changes in our environment and the alteration of day and night. Modern western lifestyles, technology and shift work disrupt our body clock. This disruption is associated with many diseases including obesity, liver diseases and cancer, but the mechanisms responsible are poorly understood. My research will decipher how disruption of the body clock leads to liver and metabolic diseases.  ",yes
APP2036043,"It is unknown what personalised nutrition strategies people having chemotherapy in Australia and Southeast Asia can use to offset common and distressing symptoms like nausea, vomiting, constipation, diarrhoea, and fatigue. This study will determine what nutrients and diet patterns are associated with chemotherapy side-effects to identify diet strategies that could help to prevent and manage symptoms.",no
APP2038129,"This project will, for the first time, utilise novel nonintrusive sleep sensor technology to monitor sleep and health outcomes for an extended period in the home environment to determine 1) how much night to night variability in AHI (N2NV) impacts health outcomes, 2) identify the key physiological and behavioural factors that drive N2NV and 3) explore the impact of N2NV on effectiveness of OSA treatment in improving health outcomes.",yes
APP2039039,"Every day we juggle many competing demands on our time. Incorporating one-size-fits-all time-use interventions (eg increase physical activity to 30 minutes/day) into our lives can be impossible or unsustainable. We will develop new methods that search across all daily activities (sleep, sedentary behaviours and physical activities) to obtain a menu of different time-use changes that all have the same health benefit, giving people flexibility and choice in how they wish to improve their time use.",no
APP2039685,"Developmental and epileptic encephalopathies (DEEs) are conditions associated with drug-resistant epilepsy, motor problems, intellectual disability, neuropsychiatric and sleep disorders. The focus of DEE care has been on seizure control. This project aims to characterize the wide-ranging patterns of medical conditions associated with DEEs, and their response to novel therapies.  It will lead to a paradigm shift towards ensuring holistic care of patients with DEEs. ",no
APP2040067,"Atrial fibrillation (AF) is a common irregular heart rhythm often treated with catheter ablation. It is associated with obstructive sleep apnoea (OSA), another common condition where people intermittently stop breathing whilst asleep requiring treatment with a breathing machine (CPAP). The SNORE-AF study investigates if treating OSA with CPAP in patients with AF undergoing ablation leads to reduced AF, improved symptoms and enhanced quality of life to better manage patients with AF. ",no
APP2040907,"Physical activity, sitting and sleep – termed “physical behaviours” – are major determinants of risk for cardiovascular disease and cancer, but we do not know what the optimal patterns of daily physical behaviour are. My program will harness the power of wearable devices to optimise guidelines and prevention practice by identifying the combined potential of more incidental physical activity, less sitting, and better sleep for CVD and cancer risk reduction. ",no
APP2041434,"Insomnia impacts 10-15% of the global population and impairs health, daytime function, and quality of life. Current diagnosis ignores the variable underlying causes of the disorder, and less than 1% of patients are referred for the recommended front-line treatment. My work will use sleep technologies to better identify the causes of insomnia so that tailored treatments can be delivered to better treat insomnia, using tools that can manage insomnia on a large scale for reduced cost.",no
APP2042383,"This project will create new methods to help researchers analyse how daily time spent in behaviours like physical activity, sedentary time, and sleep affects health and wellbeing. It will address key gaps for informing the design and analysis of time-use interventions, for example: how many participants should be included in a study, how to determine feasible behaviour-change goals for individuals, and how to assess the impact of different behaviour-change options on health and wellbeing.     ",no
APP2042772,"Disturbances in sleep and circadian rhythms, or ‘body clock’, are common in people who experience psychosis. However, the mechanisms underlying this are unclear. My 5 year program will conduct a series of studies that leverage advances in wearable technology, clinical phenotyping and computational approaches to understand whether and how sleep and circadian markers can predict young people who will develop psychosis or other poor outcomes. This information can be used to inform treatment.",no
APP2042887,"It is well known that poor sleep worsens mental health. Despite this knowledge, mental healthcare clinicians receive almost no training in treating sleep problems. This project will launch an Australia-wide online training initiative to upskill mental healthcare clinicians to deliver effective sleep treatments. This project will ensure clinicians have the knowledge and skills needed to treat sleep problems and improve sleep and mood outcomes in individuals experiencing mental health disorders.",no
APP2043220,"About 1 in 2 Australians will be diagnosed with cancer in their life, and about half of these will experience poor sleep. Poor sleep hurts their quality of life and costs the Australian economy. We have treatments, but they are costly and not available to most people with cancer. I will lead a program to work with the community, healthcare, and researchers to build and test treatments for sleep after cancer that can be delivered across Australia at low cost. ",no
APP2044756,"Recent research shows COVID can cause ‘Long COVID’ where symptoms can last over 3 months after COVID. Other viruses have been associated with diseases like multiple sclerosis, lupus and Myalgic Encephalomyelitis chronic fatigue syndrome. Although we know that viruses can cause these diseases, how this happens is still unclear, hindering treatment development. We aim to find markers for these diseases and test potential treatments, while building workforce skills to improved health outcomes.",no
APP2048447,"People with binge eating disorder often have trouble sleeping, but it's not clear how the two are connected. This project uses a rat model to explore whether poor sleep increases the urge to binge eat. It also tests whether improving sleep—by using a medication that is already approved for other conditions—can help reduce binge eating. The goal is to determine if treating sleep problems could be a new way to support people with binge eating disorder.",no
APP2050015,"People with cochlear implants to restore their hearing need life-long review to keep their hearing devices tuned up. Hear Alert will deliver the technology required for identifying when clinic visits are necessary, enabling on-demand rather than scheduled review. This will avoid low-value clinic visits, saving time and money for the individual and health system. Hear Alert will free capacity in clinics for industry growth and increase user autonomy.",no
APP2050487,"Chronic pain is extremely difficult to treat, particularly that which originates from a damaged nerve. One roadblock in developing more effective treatments is our limited understanding of the pathophysiology. We will combine both animal and human studies and use a wide range of tools to look at the brain, nerves, behaviour, sleep, and more. The goal is to find patterns and changes that are the same in both animals and people, which can help guide the development of new treatments.",no
DE200101479,"The Sounds of Time. In our age of rapid technological acceleration, understanding how time shapes social life and cultural production is an urgent task. This project aims to write an important new chapter in time’s history from the origins of the mechanical musical clock in fourteenth-century Europe to the spread of European time across the world by missionaries in the sixteenth century. Traversing histories of science, religion, and time, the project expects to be the first sonic history of time, and to develop innovative transdisciplinary approaches to the global history of material culture. It aims to benefit Australian culture by providing a richer history of the origins of time measurement, opening up alternative visions of how we might live in time now.",no
DE220100823,"Elucidating ATPase function during NLRP3 inflammasome assembly. Humans and animals are constantly exposed to microbes, which inhabit their external environment as well as body surfaces such as the skin and gut. We are, however, able to co-exist with these microbes, because our immune system protects us from these everyday encounters. This proposal will reveal how an important immune protein called NLRP3 senses microbes and other physiological processes. When NLRP3 senses such factors and is activated, it induces the release of messenger substances to alert other immune cells. This research will deliver fundamental knowledge of how animals normally co-exist with microbes.",no
DE220101087,"Impact of shift work on emergency performance, decision making and stress. Sleep and circadian disruptions due to shift work are common for emergency personnel, but their impact on team performance and decision making is poorly understood. Using an ecologically relevant simulated work environment, this project aims to examine how shift work influences work performance and team decision making and identify potential stress-related mechanisms that may underpin impairments in these outcomes. By understanding the role poor sleep and circadian misalignment due to shift work play on work performance, this project will inform industry practices and training approaches designed to optimise workplace safety and emergency performance. This project will benefit emergency personnel and the people who depend on these services.",no
DE220101508,"A Brain-Behaviour Model of Decision-Making Under Distraction. People make thousands of decisions each day, such as judging whether it is safe to cross the street at a busy intersection. This project aims to investigate how decision-making is impacted when a person is temporarily distracted, for example when receiving a text message alert from one’s phone. By combining recordings of brain activity with cutting-edge mathematical modelling techniques, this project expects to develop a novel theoretical framework that captures the effects of distraction on brain networks that underpin human decision-making performance. This knowledge should be highly beneficial for developing informed policies that reduce effects of distraction and preserve decision-making capacity in safety critical situations.",no
DE230100687,"Child sleep development in the context of family work lives. Sleep in early childhood is the single most critical activity for healthy brain development. Yet, a third of young children are identified by their parents as having a sleep problem. This study aims to test the hypothesis that social mechanisms underpin developing sleep patterns and problems. The study examines the change in sleep patterns as children enter non-parental care and the daily and weekly regularity of sleep as they transition between home and their diverse care arrangements. Discovery of the ways family work lives influence child sleep presents the potential to offer new solutions to support healthy sleep development and avert sleep problems. The benefits are for caregivers, family well-being, and children’s development.",no
